"","back_hospital.yyyymmdd","back_hospital.area","back_hospital.sex","back_hospital.frequency"
"199",20120106,"제주",1,0
"200",20120106,"제주",2,0
"201",20120106,"충남",1,0
"202",20120106,"충남",2,0
"203",20120106,"충북",1,1
"204",20120106,"충북",2,0
"205",20120107,"강원",1,1
"206",20120107,"강원",2,1
"207",20120107,"경기",1,3
"208",20120107,"경기",2,1
"209",20120107,"경남",1,2
"210",20120107,"경남",2,1
"211",20120107,"경북",1,0
"212",20120107,"경북",2,5
"213",20120107,"광주",1,0
"214",20120107,"광주",2,1
"215",20120107,"대구",1,1
"216",20120107,"대구",2,2
"217",20120107,"대전",1,0
"218",20120107,"대전",2,0
"219",20120107,"부산",1,3
"220",20120107,"부산",2,0
"221",20120107,"서울",1,4
"222",20120107,"서울",2,2
"223",20120107,"세종",1,0
"224",20120107,"세종",2,0
"225",20120107,"울산",1,0
"226",20120107,"울산",2,0
"227",20120107,"인천",1,1
"228",20120107,"인천",2,0
"229",20120107,"전남",1,0
"230",20120107,"전남",2,2
"231",20120107,"전북",1,1
"232",20120107,"전북",2,3
"233",20120107,"제주",1,0
"234",20120107,"제주",2,0
"235",20120107,"충남",1,0
"236",20120107,"충남",2,0
"237",20120107,"충북",1,1
"238",20120107,"충북",2,1
"239",20120108,"강원",1,0
"240",20120108,"강원",2,0
"241",20120108,"경기",1,3
"242",20120108,"경기",2,6
"243",20120108,"경남",1,2
"244",20120108,"경남",2,2
"245",20120108,"경북",1,2
"246",20120108,"경북",2,4
"247",20120108,"광주",1,0
"248",20120108,"광주",2,2
"249",20120108,"대구",1,2
"250",20120108,"대구",2,0
"251",20120108,"대전",1,0
"252",20120108,"대전",2,0
"253",20120108,"부산",1,3
"254",20120108,"부산",2,0
"255",20120108,"서울",1,4
"256",20120108,"서울",2,4
"257",20120108,"세종",1,0
"258",20120108,"세종",2,0
"259",20120108,"울산",1,1
"260",20120108,"울산",2,0
"261",20120108,"인천",1,0
"262",20120108,"인천",2,1
"263",20120108,"전남",1,0
"264",20120108,"전남",2,1
"265",20120108,"전북",1,0
"266",20120108,"전북",2,0
"267",20120108,"제주",1,0
"268",20120108,"제주",2,0
"269",20120108,"충남",1,1
"270",20120108,"충남",2,3
"271",20120108,"충북",1,0
"272",20120108,"충북",2,1
"273",20120109,"강원",1,1
"274",20120109,"강원",2,0
"275",20120109,"경기",1,6
"276",20120109,"경기",2,4
"277",20120109,"경남",1,2
"278",20120109,"경남",2,2
"279",20120109,"경북",1,4
"280",20120109,"경북",2,4
"281",20120109,"광주",1,2
"282",20120109,"광주",2,1
"283",20120109,"대구",1,0
"284",20120109,"대구",2,1
"285",20120109,"대전",1,0
"286",20120109,"대전",2,1
"287",20120109,"부산",1,6
"288",20120109,"부산",2,3
"289",20120109,"서울",1,5
"290",20120109,"서울",2,6
"291",20120109,"세종",1,0
"292",20120109,"세종",2,0
"293",20120109,"울산",1,0
"294",20120109,"울산",2,0
"295",20120109,"인천",1,0
"296",20120109,"인천",2,1
"297",20120109,"전남",1,1
"298",20120109,"전남",2,1
"299",20120109,"전북",1,1
"300",20120109,"전북",2,3
"301",20120109,"제주",1,0
"302",20120109,"제주",2,2
"303",20120109,"충남",1,4
"304",20120109,"충남",2,0
"305",20120109,"충북",1,0
"306",20120109,"충북",2,2
"307",20120110,"강원",1,1
"308",20120110,"강원",2,1
"309",20120110,"경기",1,7
"310",20120110,"경기",2,4
"311",20120110,"경남",1,4
"312",20120110,"경남",2,1
"313",20120110,"경북",1,3
"314",20120110,"경북",2,1
"315",20120110,"광주",1,2
"316",20120110,"광주",2,0
"317",20120110,"대구",1,1
"318",20120110,"대구",2,2
"319",20120110,"대전",1,0
"320",20120110,"대전",2,2
"321",20120110,"부산",1,5
"322",20120110,"부산",2,0
"323",20120110,"서울",1,2
"324",20120110,"서울",2,5
"325",20120110,"세종",1,0
"326",20120110,"세종",2,0
"327",20120110,"울산",1,0
"328",20120110,"울산",2,1
"329",20120110,"인천",1,2
"330",20120110,"인천",2,1
"331",20120110,"전남",1,0
"332",20120110,"전남",2,1
"333",20120110,"전북",1,0
"334",20120110,"전북",2,1
"335",20120110,"제주",1,0
"336",20120110,"제주",2,0
"337",20120110,"충남",1,1
"338",20120110,"충남",2,2
"339",20120110,"충북",1,2
"340",20120110,"충북",2,1
"341",20120111,"강원",1,0
"342",20120111,"강원",2,1
"343",20120111,"경기",1,11
"344",20120111,"경기",2,3
"345",20120111,"경남",1,7
"346",20120111,"경남",2,3
"347",20120111,"경북",1,0
"348",20120111,"경북",2,1
"349",20120111,"광주",1,1
"350",20120111,"광주",2,1
"351",20120111,"대구",1,0
"352",20120111,"대구",2,0
"353",20120111,"대전",1,0
"354",20120111,"대전",2,0
"355",20120111,"부산",1,0
"356",20120111,"부산",2,2
"357",20120111,"서울",1,3
"358",20120111,"서울",2,4
"359",20120111,"세종",1,0
"360",20120111,"세종",2,0
"361",20120111,"울산",1,2
"362",20120111,"울산",2,1
"363",20120111,"인천",1,0
"364",20120111,"인천",2,1
"365",20120111,"전남",1,3
"366",20120111,"전남",2,1
"367",20120111,"전북",1,2
"368",20120111,"전북",2,3
"369",20120111,"제주",1,0
"370",20120111,"제주",2,0
"371",20120111,"충남",1,4
"372",20120111,"충남",2,0
"373",20120111,"충북",1,0
"374",20120111,"충북",2,2
"375",20120112,"강원",1,1
"376",20120112,"강원",2,0
"377",20120112,"경기",1,5
"378",20120112,"경기",2,12
"379",20120112,"경남",1,1
"380",20120112,"경남",2,3
"381",20120112,"경북",1,3
"382",20120112,"경북",2,0
"383",20120112,"광주",1,1
"384",20120112,"광주",2,2
"385",20120112,"대구",1,1
"386",20120112,"대구",2,2
"387",20120112,"대전",1,0
"388",20120112,"대전",2,0
"389",20120112,"부산",1,0
"390",20120112,"부산",2,0
"391",20120112,"서울",1,4
"392",20120112,"서울",2,1
"393",20120112,"세종",1,0
"394",20120112,"세종",2,0
"395",20120112,"울산",1,0
"396",20120112,"울산",2,0
"397",20120112,"인천",1,0
"398",20120112,"인천",2,1
"399",20120112,"전남",1,1
"400",20120112,"전남",2,2
"401",20120112,"전북",1,1
"402",20120112,"전북",2,2
"403",20120112,"제주",1,0
"404",20120112,"제주",2,0
"405",20120112,"충남",1,1
"406",20120112,"충남",2,3
"407",20120112,"충북",1,1
"408",20120112,"충북",2,0
"409",20120113,"강원",1,3
"410",20120113,"강원",2,0
"411",20120113,"경기",1,7
"412",20120113,"경기",2,5
"413",20120113,"경남",1,3
"414",20120113,"경남",2,3
"415",20120113,"경북",1,2
"416",20120113,"경북",2,4
"417",20120113,"광주",1,1
"418",20120113,"광주",2,1
"419",20120113,"대구",1,2
"420",20120113,"대구",2,0
"421",20120113,"대전",1,3
"422",20120113,"대전",2,1
"423",20120113,"부산",1,2
"424",20120113,"부산",2,1
"425",20120113,"서울",1,3
"426",20120113,"서울",2,1
"427",20120113,"세종",1,0
"428",20120113,"세종",2,0
"429",20120113,"울산",1,0
"430",20120113,"울산",2,0
"431",20120113,"인천",1,1
"432",20120113,"인천",2,1
"433",20120113,"전남",1,1
"434",20120113,"전남",2,0
"435",20120113,"전북",1,0
"436",20120113,"전북",2,4
"437",20120113,"제주",1,1
"438",20120113,"제주",2,0
"439",20120113,"충남",1,0
"440",20120113,"충남",2,1
"441",20120113,"충북",1,1
"442",20120113,"충북",2,0
"443",20120114,"강원",1,1
"444",20120114,"강원",2,2
"445",20120114,"경기",1,3
"446",20120114,"경기",2,4
"447",20120114,"경남",1,0
"448",20120114,"경남",2,2
"449",20120114,"경북",1,2
"450",20120114,"경북",2,1
"451",20120114,"광주",1,0
"452",20120114,"광주",2,1
"453",20120114,"대구",1,0
"454",20120114,"대구",2,2
"455",20120114,"대전",1,0
"456",20120114,"대전",2,0
"457",20120114,"부산",1,0
"458",20120114,"부산",2,0
"459",20120114,"서울",1,2
"460",20120114,"서울",2,2
"461",20120114,"세종",1,0
"462",20120114,"세종",2,0
"463",20120114,"울산",1,1
"464",20120114,"울산",2,1
"465",20120114,"인천",1,0
"466",20120114,"인천",2,0
"467",20120114,"전남",1,2
"468",20120114,"전남",2,0
"469",20120114,"전북",1,0
"470",20120114,"전북",2,5
"471",20120114,"제주",1,0
"472",20120114,"제주",2,0
"473",20120114,"충남",1,2
"474",20120114,"충남",2,0
"475",20120114,"충북",1,0
"476",20120114,"충북",2,1
"477",20120115,"강원",1,1
"478",20120115,"강원",2,0
"479",20120115,"경기",1,4
"480",20120115,"경기",2,3
"481",20120115,"경남",1,0
"482",20120115,"경남",2,1
"483",20120115,"경북",1,1
"484",20120115,"경북",2,1
"485",20120115,"광주",1,0
"486",20120115,"광주",2,0
"487",20120115,"대구",1,1
"488",20120115,"대구",2,0
"489",20120115,"대전",1,0
"490",20120115,"대전",2,2
"491",20120115,"부산",1,0
"492",20120115,"부산",2,1
"493",20120115,"서울",1,7
"494",20120115,"서울",2,3
"495",20120115,"세종",1,0
"496",20120115,"세종",2,0
"497",20120115,"울산",1,0
"498",20120115,"울산",2,0
"499",20120115,"인천",1,0
"500",20120115,"인천",2,0
"501",20120115,"전남",1,1
"502",20120115,"전남",2,2
"503",20120115,"전북",1,0
"504",20120115,"전북",2,0
"505",20120115,"제주",1,0
"506",20120115,"제주",2,0
"507",20120115,"충남",1,0
"508",20120115,"충남",2,1
"509",20120115,"충북",1,1
"510",20120115,"충북",2,1
"511",20120116,"강원",1,0
"512",20120116,"강원",2,0
"513",20120116,"경기",1,4
"514",20120116,"경기",2,8
"515",20120116,"경남",1,2
"516",20120116,"경남",2,1
"517",20120116,"경북",1,0
"518",20120116,"경북",2,2
"519",20120116,"광주",1,0
"520",20120116,"광주",2,0
"521",20120116,"대구",1,1
"522",20120116,"대구",2,2
"523",20120116,"대전",1,1
"524",20120116,"대전",2,1
"525",20120116,"부산",1,4
"526",20120116,"부산",2,3
"527",20120116,"서울",1,4
"528",20120116,"서울",2,2
"529",20120116,"세종",1,0
"530",20120116,"세종",2,0
"531",20120116,"울산",1,0
"532",20120116,"울산",2,0
"533",20120116,"인천",1,1
"534",20120116,"인천",2,1
"535",20120116,"전남",1,0
"536",20120116,"전남",2,0
"537",20120116,"전북",1,2
"538",20120116,"전북",2,1
"539",20120116,"제주",1,1
"540",20120116,"제주",2,0
"541",20120116,"충남",1,2
"542",20120116,"충남",2,2
"543",20120116,"충북",1,0
"544",20120116,"충북",2,0
"545",20120117,"강원",1,1
"546",20120117,"강원",2,0
"547",20120117,"경기",1,6
"548",20120117,"경기",2,5
"549",20120117,"경남",1,3
"550",20120117,"경남",2,3
"551",20120117,"경북",1,5
"552",20120117,"경북",2,2
"553",20120117,"광주",1,0
"554",20120117,"광주",2,0
"555",20120117,"대구",1,0
"556",20120117,"대구",2,0
"557",20120117,"대전",1,0
"558",20120117,"대전",2,1
"559",20120117,"부산",1,2
"560",20120117,"부산",2,4
"561",20120117,"서울",1,1
"562",20120117,"서울",2,3
"563",20120117,"세종",1,0
"564",20120117,"세종",2,0
"565",20120117,"울산",1,2
"566",20120117,"울산",2,0
"567",20120117,"인천",1,1
"568",20120117,"인천",2,0
"569",20120117,"전남",1,1
"570",20120117,"전남",2,1
"571",20120117,"전북",1,1
"572",20120117,"전북",2,2
"573",20120117,"제주",1,2
"574",20120117,"제주",2,1
"575",20120117,"충남",1,3
"576",20120117,"충남",2,2
"577",20120117,"충북",1,1
"578",20120117,"충북",2,1
"579",20120118,"강원",1,1
"580",20120118,"강원",2,2
"581",20120118,"경기",1,4
"582",20120118,"경기",2,7
"583",20120118,"경남",1,1
"584",20120118,"경남",2,2
"585",20120118,"경북",1,0
"586",20120118,"경북",2,1
"587",20120118,"광주",1,1
"588",20120118,"광주",2,0
"589",20120118,"대구",1,1
"590",20120118,"대구",2,2
"591",20120118,"대전",1,3
"592",20120118,"대전",2,1
"593",20120118,"부산",1,1
"594",20120118,"부산",2,2
"595",20120118,"서울",1,3
"596",20120118,"서울",2,6
"597",20120118,"세종",1,0
"598",20120118,"세종",2,0
"599",20120118,"울산",1,0
"600",20120118,"울산",2,0
"601",20120118,"인천",1,3
"602",20120118,"인천",2,2
"603",20120118,"전남",1,3
"604",20120118,"전남",2,2
"605",20120118,"전북",1,1
"606",20120118,"전북",2,1
"607",20120118,"제주",1,1
"608",20120118,"제주",2,0
"609",20120118,"충남",1,1
"610",20120118,"충남",2,0
"611",20120118,"충북",1,1
"612",20120118,"충북",2,2
"613",20120119,"강원",1,0
"614",20120119,"강원",2,1
"615",20120119,"경기",1,4
"616",20120119,"경기",2,7
"617",20120119,"경남",1,4
"618",20120119,"경남",2,3
"619",20120119,"경북",1,0
"620",20120119,"경북",2,1
"621",20120119,"광주",1,0
"622",20120119,"광주",2,0
"623",20120119,"대구",1,3
"624",20120119,"대구",2,0
"625",20120119,"대전",1,1
"626",20120119,"대전",2,1
"627",20120119,"부산",1,2
"628",20120119,"부산",2,3
"629",20120119,"서울",1,1
"630",20120119,"서울",2,3
"631",20120119,"세종",1,0
"632",20120119,"세종",2,0
"633",20120119,"울산",1,1
"634",20120119,"울산",2,0
"635",20120119,"인천",1,2
"636",20120119,"인천",2,0
"637",20120119,"전남",1,3
"638",20120119,"전남",2,0
"639",20120119,"전북",1,2
"640",20120119,"전북",2,0
"641",20120119,"제주",1,0
"642",20120119,"제주",2,0
"643",20120119,"충남",1,1
"644",20120119,"충남",2,2
"645",20120119,"충북",1,0
"646",20120119,"충북",2,0
"647",20120120,"강원",1,0
"648",20120120,"강원",2,0
"649",20120120,"경기",1,3
"650",20120120,"경기",2,3
"651",20120120,"경남",1,2
"652",20120120,"경남",2,1
"653",20120120,"경북",1,1
"654",20120120,"경북",2,0
"655",20120120,"광주",1,1
"656",20120120,"광주",2,0
"657",20120120,"대구",1,0
"658",20120120,"대구",2,0
"659",20120120,"대전",1,1
"660",20120120,"대전",2,0
"661",20120120,"부산",1,2
"662",20120120,"부산",2,1
"663",20120120,"서울",1,1
"664",20120120,"서울",2,5
"665",20120120,"세종",1,0
"666",20120120,"세종",2,0
"667",20120120,"울산",1,1
"668",20120120,"울산",2,0
"669",20120120,"인천",1,1
"670",20120120,"인천",2,7
"671",20120120,"전남",1,1
"672",20120120,"전남",2,0
"673",20120120,"전북",1,1
"674",20120120,"전북",2,0
"675",20120120,"제주",1,0
"676",20120120,"제주",2,0
"677",20120120,"충남",1,2
"678",20120120,"충남",2,0
"679",20120120,"충북",1,1
"680",20120120,"충북",2,1
"681",20120121,"강원",1,0
"682",20120121,"강원",2,0
"683",20120121,"경기",1,3
"684",20120121,"경기",2,4
"685",20120121,"경남",1,1
"686",20120121,"경남",2,2
"687",20120121,"경북",1,2
"688",20120121,"경북",2,1
"689",20120121,"광주",1,0
"690",20120121,"광주",2,0
"691",20120121,"대구",1,0
"692",20120121,"대구",2,0
"693",20120121,"대전",1,1
"694",20120121,"대전",2,0
"695",20120121,"부산",1,2
"696",20120121,"부산",2,1
"697",20120121,"서울",1,2
"698",20120121,"서울",2,4
"699",20120121,"세종",1,0
"700",20120121,"세종",2,0
"701",20120121,"울산",1,0
"702",20120121,"울산",2,0
"703",20120121,"인천",1,5
"704",20120121,"인천",2,1
"705",20120121,"전남",1,2
"706",20120121,"전남",2,1
"707",20120121,"전북",1,0
"708",20120121,"전북",2,0
"709",20120121,"제주",1,0
"710",20120121,"제주",2,1
"711",20120121,"충남",1,0
"712",20120121,"충남",2,0
"713",20120121,"충북",1,1
"714",20120121,"충북",2,0
"715",20120122,"강원",1,1
"716",20120122,"강원",2,0
"717",20120122,"경기",1,3
"718",20120122,"경기",2,3
"719",20120122,"경남",1,3
"720",20120122,"경남",2,3
"721",20120122,"경북",1,1
"722",20120122,"경북",2,3
"723",20120122,"광주",1,2
"724",20120122,"광주",2,0
"725",20120122,"대구",1,0
"726",20120122,"대구",2,2
"727",20120122,"대전",1,1
"728",20120122,"대전",2,0
"729",20120122,"부산",1,2
"730",20120122,"부산",2,0
"731",20120122,"서울",1,2
"732",20120122,"서울",2,2
"733",20120122,"세종",1,0
"734",20120122,"세종",2,0
"735",20120122,"울산",1,1
"736",20120122,"울산",2,0
"737",20120122,"인천",1,1
"738",20120122,"인천",2,2
"739",20120122,"전남",1,1
"740",20120122,"전남",2,2
"741",20120122,"전북",1,2
"742",20120122,"전북",2,3
"743",20120122,"제주",1,0
"744",20120122,"제주",2,0
"745",20120122,"충남",1,0
"746",20120122,"충남",2,0
"747",20120122,"충북",1,2
"748",20120122,"충북",2,0
"749",20120123,"강원",1,0
"750",20120123,"강원",2,0
"751",20120123,"경기",1,2
"752",20120123,"경기",2,6
"753",20120123,"경남",1,0
"754",20120123,"경남",2,0
"755",20120123,"경북",1,0
"756",20120123,"경북",2,1
"757",20120123,"광주",1,0
"758",20120123,"광주",2,1
"759",20120123,"대구",1,2
"760",20120123,"대구",2,1
"761",20120123,"대전",1,0
"762",20120123,"대전",2,0
"763",20120123,"부산",1,2
"764",20120123,"부산",2,0
"765",20120123,"서울",1,5
"766",20120123,"서울",2,1
"767",20120123,"세종",1,0
"768",20120123,"세종",2,0
"769",20120123,"울산",1,0
"770",20120123,"울산",2,1
"771",20120123,"인천",1,1
"772",20120123,"인천",2,0
"773",20120123,"전남",1,0
"774",20120123,"전남",2,1
"775",20120123,"전북",1,2
"776",20120123,"전북",2,1
"777",20120123,"제주",1,0
"778",20120123,"제주",2,0
"779",20120123,"충남",1,0
"780",20120123,"충남",2,2
"781",20120123,"충북",1,1
"782",20120123,"충북",2,0
"783",20120124,"강원",1,1
"784",20120124,"강원",2,0
"785",20120124,"경기",1,1
"786",20120124,"경기",2,4
"787",20120124,"경남",1,0
"788",20120124,"경남",2,0
"789",20120124,"경북",1,0
"790",20120124,"경북",2,5
"791",20120124,"광주",1,2
"792",20120124,"광주",2,1
"793",20120124,"대구",1,3
"794",20120124,"대구",2,2
"795",20120124,"대전",1,0
"796",20120124,"대전",2,0
"797",20120124,"부산",1,0
"798",20120124,"부산",2,1
"799",20120124,"서울",1,0
"800",20120124,"서울",2,4
"801",20120124,"세종",1,0
"802",20120124,"세종",2,0
"803",20120124,"울산",1,0
"804",20120124,"울산",2,0
"805",20120124,"인천",1,0
"806",20120124,"인천",2,1
"807",20120124,"전남",1,1
"808",20120124,"전남",2,0
"809",20120124,"전북",1,0
"810",20120124,"전북",2,0
"811",20120124,"제주",1,0
"812",20120124,"제주",2,0
"813",20120124,"충남",1,0
"814",20120124,"충남",2,2
"815",20120124,"충북",1,1
"816",20120124,"충북",2,1
"817",20120125,"강원",1,2
"818",20120125,"강원",2,4
"819",20120125,"경기",1,8
"820",20120125,"경기",2,6
"821",20120125,"경남",1,0
"822",20120125,"경남",2,7
"823",20120125,"경북",1,3
"824",20120125,"경북",2,5
"825",20120125,"광주",1,0
"826",20120125,"광주",2,1
"827",20120125,"대구",1,0
"828",20120125,"대구",2,3
"829",20120125,"대전",1,2
"830",20120125,"대전",2,1
"831",20120125,"부산",1,4
"832",20120125,"부산",2,1
"833",20120125,"서울",1,2
"834",20120125,"서울",2,3
"835",20120125,"세종",1,0
"836",20120125,"세종",2,0
"837",20120125,"울산",1,0
"838",20120125,"울산",2,1
"839",20120125,"인천",1,1
"840",20120125,"인천",2,1
"841",20120125,"전남",1,1
"842",20120125,"전남",2,2
"843",20120125,"전북",1,2
"844",20120125,"전북",2,1
"845",20120125,"제주",1,0
"846",20120125,"제주",2,0
"847",20120125,"충남",1,3
"848",20120125,"충남",2,0
"849",20120125,"충북",1,6
"850",20120125,"충북",2,0
"851",20120126,"강원",1,0
"852",20120126,"강원",2,1
"853",20120126,"경기",1,6
"854",20120126,"경기",2,2
"855",20120126,"경남",1,3
"856",20120126,"경남",2,1
"857",20120126,"경북",1,1
"858",20120126,"경북",2,3
"859",20120126,"광주",1,1
"860",20120126,"광주",2,1
"861",20120126,"대구",1,1
"862",20120126,"대구",2,0
"863",20120126,"대전",1,0
"864",20120126,"대전",2,0
"865",20120126,"부산",1,1
"866",20120126,"부산",2,3
"867",20120126,"서울",1,2
"868",20120126,"서울",2,2
"869",20120126,"세종",1,0
"870",20120126,"세종",2,0
"871",20120126,"울산",1,1
"872",20120126,"울산",2,2
"873",20120126,"인천",1,1
"874",20120126,"인천",2,1
"875",20120126,"전남",1,1
"876",20120126,"전남",2,2
"877",20120126,"전북",1,1
"878",20120126,"전북",2,2
"879",20120126,"제주",1,0
"880",20120126,"제주",2,0
"881",20120126,"충남",1,2
"882",20120126,"충남",2,3
"883",20120126,"충북",1,3
"884",20120126,"충북",2,1
"885",20120127,"강원",1,1
"886",20120127,"강원",2,1
"887",20120127,"경기",1,8
"888",20120127,"경기",2,2
"889",20120127,"경남",1,3
"890",20120127,"경남",2,4
"891",20120127,"경북",1,3
"892",20120127,"경북",2,2
"893",20120127,"광주",1,0
"894",20120127,"광주",2,1
"895",20120127,"대구",1,0
"896",20120127,"대구",2,0
"897",20120127,"대전",1,1
"898",20120127,"대전",2,2
"899",20120127,"부산",1,0
"900",20120127,"부산",2,2
"901",20120127,"서울",1,0
"902",20120127,"서울",2,4
"903",20120127,"세종",1,0
"904",20120127,"세종",2,0
"905",20120127,"울산",1,1
"906",20120127,"울산",2,0
"907",20120127,"인천",1,1
"908",20120127,"인천",2,1
"909",20120127,"전남",1,3
"910",20120127,"전남",2,1
"911",20120127,"전북",1,2
"912",20120127,"전북",2,0
"913",20120127,"제주",1,1
"914",20120127,"제주",2,0
"915",20120127,"충남",1,2
"916",20120127,"충남",2,2
"917",20120127,"충북",1,1
"918",20120127,"충북",2,1
"919",20120128,"강원",1,1
"920",20120128,"강원",2,0
"921",20120128,"경기",1,2
"922",20120128,"경기",2,5
"923",20120128,"경남",1,1
"924",20120128,"경남",2,3
"925",20120128,"경북",1,1
"926",20120128,"경북",2,0
"927",20120128,"광주",1,0
