瘤痢,瘤痢疙,老矫,10CM 沥矫 配剧荐盒(%),20CM 沥矫 配剧荐盒(%),30CM 沥矫 配剧荐盒(%),50CM 沥矫 配剧荐盒(%),,老矫,10CM 沥矫 配剧荐盒(%),20CM 沥矫 配剧荐盒(%),30CM 沥矫 配剧荐盒(%),50CM 沥矫 配剧荐盒(%)
702,劳魂,2021-11-30 12:00,35.8,32.5,32.8,32.5,,2021-11-30 12:00,35.8,32.5,32.8,32.5
702,劳魂,2021-11-30 13:00,35,32.5,32.8,32.3,,2021-11-30 13:00,35,32.5,32.8,32.3
702,劳魂,2021-11-30 14:00,35.5,32.5,32.8,32.3,,2021-11-30 14:00,35.5,32.5,32.8,32.3
702,劳魂,2021-11-30 15:00,34.8,32.5,32.8,32.3,,2021-11-30 15:00,34.8,32.5,32.8,32.3
702,劳魂,2021-11-30 16:00,34.3,32.5,32.8,32.3,,2021-11-30 16:00,34.3,32.5,32.8,32.3
702,劳魂,2021-11-30 17:00,34.5,32.5,32.8,32.3,,2021-11-30 17:00,34.5,32.5,32.8,32.3
702,劳魂,2021-11-30 18:00,34.5,32.5,32.8,32.3,,2021-11-30 18:00,34.5,32.5,32.8,32.3
702,劳魂,2021-11-30 19:00,34.3,32.5,32.8,32.3,,2021-11-30 19:00,34.3,32.5,32.8,32.3
702,劳魂,2021-11-30 20:00,34.3,32.5,32.8,32.3,,2021-11-30 20:00,34.3,32.5,32.8,32.3
702,劳魂,2021-11-30 21:00,34.3,32.5,32.8,32.3,,2021-11-30 21:00,34.3,32.5,32.8,32.3
702,劳魂,2021-11-30 22:00,34,32.5,32.8,32.3,,2021-11-30 22:00,34,32.5,32.8,32.3
702,劳魂,2021-11-30 23:00,34,32.5,32.8,32.3,,2021-11-30 23:00,34,32.5,32.8,32.3
702,劳魂,2021-12-01 1:00,34,32.5,32.8,32.3,,2021-12-01 1:00,34,32.5,32.8,32.3
702,劳魂,2021-12-01 2:00,34,32.5,32.8,32.3,,2021-12-01 2:00,34,32.5,32.8,32.3
702,劳魂,2021-12-01 3:00,34,32.5,32.8,32.3,,2021-12-01 3:00,34,32.5,32.8,32.3
702,劳魂,2021-12-01 4:00,33.8,32.5,32.8,32.3,,2021-12-01 4:00,33.8,32.5,32.8,32.3
702,劳魂,2021-12-01 5:00,33.5,32.5,32.8,32.3,,2021-12-01 5:00,33.5,32.5,32.8,32.3
702,劳魂,2021-12-01 6:00,33.5,32.5,32.8,32.3,,2021-12-01 6:00,33.5,32.5,32.8,32.3
702,劳魂,2021-12-01 7:00,33.3,32.5,32.8,32.3,,2021-12-01 7:00,33.3,32.5,32.8,32.3
702,劳魂,2021-12-01 8:00,33.3,32.5,32.8,32.3,,2021-12-01 8:00,33.3,32.5,32.8,32.3
702,劳魂,2021-12-01 9:00,33,32.5,32.8,32.3,,2021-12-01 9:00,33,32.5,32.8,32.3
702,劳魂,2021-12-01 10:00,33,32.5,32.8,32.3,,2021-12-01 10:00,33,32.5,32.8,32.3
702,劳魂,2021-12-01 11:00,32.8,32.5,32.8,32.3,,2021-12-01 11:00,32.8,32.5,32.8,32.3
702,劳魂,2021-12-01 12:00,32.8,32.5,32.5,32.3,,2021-12-01 12:00,32.8,32.5,32.5,32.3
702,劳魂,2021-12-01 13:00,32.8,32.5,32.5,32.3,,2021-12-01 13:00,32.8,32.5,32.5,32.3
702,劳魂,2021-12-01 14:00,32.5,32.5,32.5,32.3,,2021-12-01 14:00,32.5,32.5,32.5,32.3
702,劳魂,2021-12-01 15:00,32.5,32.5,32.5,32.3,,2021-12-01 15:00,32.5,32.5,32.5,32.3
702,劳魂,2021-12-01 16:00,32.3,32.5,32.5,32.3,,2021-12-01 16:00,32.3,32.5,32.5,32.3
702,劳魂,2021-12-01 17:00,32.3,32.5,32.5,32.3,,2021-12-01 17:00,32.3,32.5,32.5,32.3
702,劳魂,2021-12-01 18:00,32.3,32.3,32.5,32.3,,2021-12-01 18:00,32.3,32.3,32.5,32.3
702,劳魂,2021-12-01 19:00,32,32.3,32.5,32.3,,2021-12-01 19:00,32,32.3,32.5,32.3
702,劳魂,2021-12-01 20:00,31.9,32.3,32.5,32.3,,2021-12-01 20:00,31.9,32.3,32.5,32.3
702,劳魂,2021-12-01 21:00,31.8,32.3,32.5,32.3,,2021-12-01 21:00,31.8,32.3,32.5,32.3
702,劳魂,2021-12-01 22:00,31.6,32.3,32.5,32.3,,2021-12-01 22:00,31.6,32.3,32.5,32.3
702,劳魂,2021-12-01 23:00,31.5,32.3,32.5,32.3,,2021-12-01 23:00,31.5,32.3,32.5,32.3
702,劳魂,2021-12-02 0:00,31.3,32.3,32.3,32.3,,2021-12-02 0:00,31.3,32.3,32.3,32.3
702,劳魂,2021-12-02 1:00,31,32.3,32.3,32,,2021-12-02 1:00,31,32.3,32.3,32
702,劳魂,2021-12-02 2:00,30.9,32.3,32.3,32,,2021-12-02 2:00,30.9,32.3,32.3,32
702,劳魂,2021-12-02 3:00,30.8,32,32.3,32,,2021-12-02 3:00,30.8,32,32.3,32
702,劳魂,2021-12-02 4:00,30.8,32,32.3,32,,2021-12-02 4:00,30.8,32,32.3,32
702,劳魂,2021-12-02 5:00,30.8,32,32.3,32,,2021-12-02 5:00,30.8,32,32.3,32
702,劳魂,2021-12-02 6:00,30.8,32,32,32,,2021-12-02 6:00,30.8,32,32,32
702,劳魂,2021-12-02 7:00,30.8,32,32,32,,2021-12-02 7:00,30.8,32,32,32
702,劳魂,2021-12-02 8:00,30.8,32,32,31.9,,2021-12-02 8:00,30.8,32,32,31.9
702,劳魂,2021-12-02 9:00,30.8,32,32,31.9,,2021-12-02 9:00,30.8,32,32,31.9
702,劳魂,2021-12-02 10:00,30.9,32,32,31.9,,2021-12-02 10:00,30.9,32,32,31.9
702,劳魂,2021-12-02 11:00,30.9,32,32,31.9,,2021-12-02 11:00,30.9,32,32,31.9
702,劳魂,2021-12-02 12:00,31,32,32,31.9,,2021-12-02 12:00,31,32,32,31.9
702,劳魂,2021-12-02 13:00,30.9,32,32,31.9,,2021-12-02 13:00,30.9,32,32,31.9
702,劳魂,2021-12-02 14:00,30.9,32,32,31.9,,2021-12-02 14:00,30.9,32,32,31.9
702,劳魂,2021-12-02 15:00,30.8,32,32,31.9,,2021-12-02 15:00,30.8,32,32,31.9
702,劳魂,2021-12-02 16:00,30.8,32,32,31.9,,2021-12-02 16:00,30.8,32,32,31.9
702,劳魂,2021-12-02 17:00,30.8,32.3,32,31.9,,2021-12-02 17:00,30.8,32.3,32,31.9
702,劳魂,2021-12-02 18:00,30.8,32,32,31.9,,2021-12-02 18:00,30.8,32,32,31.9
702,劳魂,2021-12-02 19:00,30.9,32,32,31.9,,2021-12-02 19:00,30.9,32,32,31.9
702,劳魂,2021-12-02 20:00,30.9,32,32,31.8,,2021-12-02 20:00,30.9,32,32,31.8
702,劳魂,2021-12-02 21:00,31,32,32,31.8,,2021-12-02 21:00,31,32,32,31.8
702,劳魂,2021-12-02 22:00,31,32,32,31.8,,2021-12-02 22:00,31,32,32,31.8
702,劳魂,2021-12-02 23:00,31.1,32,32,31.8,,2021-12-02 23:00,31.1,32,32,31.8
702,劳魂,2021-12-03 0:00,31.4,32,32,31.8,,2021-12-03 0:00,31.4,32,32,31.8
702,劳魂,2021-12-03 1:00,31.5,32,32,31.8,,2021-12-03 1:00,31.5,32,32,31.8
702,劳魂,2021-12-03 2:00,31.6,32,32,31.8,,2021-12-03 2:00,31.6,32,32,31.8
702,劳魂,2021-12-03 4:00,32.3,32,32,31.8,,2021-12-03 3:00,,,,
702,劳魂,2021-12-03 5:00,32.3,32.3,32,31.8,,2021-12-03 4:00,32.3,32,32,31.8
702,劳魂,2021-12-03 6:00,32.3,32.3,32,31.8,,2021-12-03 5:00,32.3,32.3,32,31.8
702,劳魂,2021-12-03 7:00,32.3,32.3,32,31.8,,2021-12-03 6:00,32.3,32.3,32,31.8
702,劳魂,2021-12-03 8:00,32.3,32.3,32,31.8,,2021-12-03 7:00,32.3,32.3,32,31.8
702,劳魂,2021-12-03 9:00,32.3,32.3,32,31.8,,2021-12-03 8:00,32.3,32.3,32,31.8
702,劳魂,2021-12-03 10:00,32,32.3,32,31.8,,2021-12-03 9:00,32.3,32.3,32,31.8
702,劳魂,2021-12-03 11:00,32,32.3,32,31.7,,2021-12-03 10:00,32,32.3,32,31.8
702,劳魂,2021-12-03 12:00,32,32.3,32,31.6,,2021-12-03 11:00,32,32.3,32,31.7
702,劳魂,2021-12-03 13:00,32,32.3,32,31.7,,2021-12-03 12:00,32,32.3,32,31.6
702,劳魂,2021-12-03 14:00,31.9,32.3,32,31.8,,2021-12-03 13:00,32,32.3,32,31.7
702,劳魂,2021-12-03 15:00,31.8,32.3,32,31.8,,2021-12-03 14:00,31.9,32.3,32,31.8
702,劳魂,2021-12-03 16:00,31.8,32.3,32,31.8,,2021-12-03 15:00,31.8,32.3,32,31.8
702,劳魂,2021-12-03 17:00,31.8,32.3,32,31.8,,2021-12-03 16:00,31.8,32.3,32,31.8
702,劳魂,2021-12-03 18:00,31.8,32.3,32,31.8,,2021-12-03 17:00,31.8,32.3,32,31.8
702,劳魂,2021-12-03 19:00,31.8,32.3,32,31.8,,2021-12-03 18:00,31.8,32.3,32,31.8
702,劳魂,2021-12-03 20:00,31.6,32.3,32,31.8,,2021-12-03 19:00,31.8,32.3,32,31.8
702,劳魂,2021-12-03 21:00,31.5,32.3,32,31.8,,2021-12-03 20:00,31.6,32.3,32,31.8
702,劳魂,2021-12-03 22:00,31.4,32.3,32,31.8,,2021-12-03 21:00,31.5,32.3,32,31.8
702,劳魂,2021-12-03 23:00,31.3,32,32,31.7,,2021-12-03 22:00,31.4,32.3,32,31.8
702,劳魂,2021-12-04 1:00,31.3,32,32,31.6,,2021-12-03 23:00,31.3,32,32,31.7
702,劳魂,2021-12-04 2:00,31.2,32,32,31.6,,2021-12-04 1:00,31.3,32,32,31.6
702,劳魂,2021-12-04 3:00,31.1,32,32,31.6,,2021-12-04 2:00,31.2,32,32,31.6
702,劳魂,2021-12-04 4:00,31,32,32,31.6,,2021-12-04 3:00,31.1,32,32,31.6
702,劳魂,2021-12-04 5:00,30.9,32,32,31.6,,2021-12-04 4:00,31,32,32,31.6
702,劳魂,2021-12-04 6:00,30.8,32,32,31.6,,2021-12-04 5:00,30.9,32,32,31.6
702,劳魂,2021-12-04 7:00,30.6,32,32,31.6,,2021-12-04 6:00,30.8,32,32,31.6
702,劳魂,2021-12-04 8:00,30.4,32,31.9,31.6,,2021-12-04 7:00,30.6,32,32,31.6
702,劳魂,2021-12-04 9:00,30.4,32,31.9,31.6,,2021-12-04 8:00,30.4,32,31.9,31.6
702,劳魂,2021-12-04 10:00,30.4,32,31.9,31.6,,2021-12-04 9:00,30.4,32,31.9,31.6
702,劳魂,2021-12-04 11:00,30.5,32,31.9,31.6,,2021-12-04 10:00,30.4,32,31.9,31.6
702,劳魂,2021-12-04 12:00,30.6,32,31.9,31.6,,2021-12-04 11:00,30.5,32,31.9,31.6
702,劳魂,2021-12-04 13:00,30.8,32,31.9,31.6,,2021-12-04 12:00,30.6,32,31.9,31.6
702,劳魂,2021-12-04 14:00,30.8,32,31.9,31.6,,2021-12-04 13:00,30.8,32,31.9,31.6
702,劳魂,2021-12-04 15:00,30.8,32,31.9,31.6,,2021-12-04 14:00,30.8,32,31.9,31.6
702,劳魂,2021-12-04 16:00,30.8,32,31.9,31.6,,2021-12-04 15:00,30.8,32,31.9,31.6
702,劳魂,2021-12-04 17:00,30.8,32,31.9,31.6,,2021-12-04 16:00,30.8,32,31.9,31.6
702,劳魂,2021-12-04 18:00,30.8,32,31.9,31.6,,2021-12-04 17:00,30.8,32,31.9,31.6
702,劳魂,2021-12-04 19:00,30.8,32,31.9,31.6,,2021-12-04 18:00,30.8,32,31.9,31.6
702,劳魂,2021-12-04 20:00,30.8,32,31.9,31.6,,2021-12-04 19:00,30.8,32,31.9,31.6
702,劳魂,2021-12-04 21:00,30.6,32,31.9,31.6,,2021-12-04 20:00,30.8,32,31.9,31.6
702,劳魂,2021-12-04 22:00,30.5,32,31.9,31.6,,2021-12-04 21:00,30.6,32,31.9,31.6
702,劳魂,2021-12-04 23:00,30.4,32,31.9,31.6,,2021-12-04 22:00,30.5,32,31.9,31.6
702,劳魂,2021-12-05 0:00,30.3,32,31.9,31.6,,2021-12-04 23:00,30.4,32,31.9,31.6
702,劳魂,2021-12-05 1:00,30.1,32,31.9,31.5,,2021-12-05 0:00,30.3,32,31.9,31.6
702,劳魂,2021-12-05 2:00,30,31.9,31.9,31.5,,2021-12-05 1:00,30.1,32,31.9,31.5
702,劳魂,2021-12-05 3:00,29.8,31.9,31.8,31.5,,2021-12-05 2:00,30,31.9,31.9,31.5
702,劳魂,2021-12-05 4:00,29.5,31.9,31.8,31.5,,2021-12-05 3:00,29.8,31.9,31.8,31.5
702,劳魂,2021-12-05 5:00,29.3,31.9,31.8,31.5,,2021-12-05 4:00,29.5,31.9,31.8,31.5
702,劳魂,2021-12-05 6:00,29,31.9,31.8,31.5,,2021-12-05 5:00,29.3,31.9,31.8,31.5
702,劳魂,2021-12-05 7:00,28.9,31.8,31.8,31.5,,2021-12-05 6:00,29,31.9,31.8,31.5
702,劳魂,2021-12-05 8:00,28.6,31.8,31.8,31.5,,2021-12-05 7:00,28.9,31.8,31.8,31.5
702,劳魂,2021-12-05 9:00,28.5,31.8,31.8,31.5,,2021-12-05 8:00,28.6,31.8,31.8,31.5
702,劳魂,2021-12-05 10:00,28.5,31.8,31.8,31.5,,2021-12-05 9:00,28.5,31.8,31.8,31.5
702,劳魂,2021-12-05 11:00,28.6,31.8,31.8,31.5,,2021-12-05 10:00,28.5,31.8,31.8,31.5
702,劳魂,2021-12-05 12:00,28.9,31.8,31.8,31.5,,2021-12-05 11:00,28.6,31.8,31.8,31.5
702,劳魂,2021-12-05 13:00,29.1,31.8,31.8,31.5,,2021-12-05 12:00,28.9,31.8,31.8,31.5
702,劳魂,2021-12-05 14:00,29.4,31.8,31.8,31.5,,2021-12-05 13:00,29.1,31.8,31.8,31.5
702,劳魂,2021-12-05 15:00,29.4,31.8,31.8,31.5,,2021-12-05 14:00,29.4,31.8,31.8,31.5
702,劳魂,2021-12-05 16:00,29.4,31.8,31.8,31.5,,2021-12-05 15:00,29.4,31.8,31.8,31.5
702,劳魂,2021-12-05 17:00,29.5,31.8,31.8,31.5,,2021-12-05 16:00,29.4,31.8,31.8,31.5
702,劳魂,2021-12-05 18:00,29.5,31.8,31.8,31.5,,2021-12-05 17:00,29.5,31.8,31.8,31.5
